# PARTICIPANT INFO
id,age,gender,handedness,startTime,endTime,finalCoins_exp1
999,19,male,right,8521,198515.00000000003,16

# EXPERIMENT 1 TRIALS
trial_index,stimulus,imagePath,start_time,choice,rt,outcome,coins_before,coins_after
1,zaff1,./stimuli/exp1/hh4.png,15868,approach,1226,1,4,5
2,nonzaff4,./stimuli/exp1/ss4.png,19040,avoid,1295,0,5,5
3,zaff2,./stimuli/exp1/sh4.png,21943,approach,1299,1,5,6
4,zaff3,./stimuli/exp1/hs1.png,24747,approach,1986,1,6,7
5,nonzaff4,./stimuli/exp1/ss2.png,28184,avoid,3036.0000000000036,0,7,7
6,zaff1,./stimuli/exp1/hh2.png,32878,approach,2436,1,7,8
7,zaff3,./stimuli/exp1/hs3.png,36778,approach,6184,1,8,9
8,zaff2,./stimuli/exp1/sh3.png,44268,approach,1794,1,9,10
9,zaff2,./stimuli/exp1/sh1.png,47666.00000000001,approach,1595.9999999999927,1,10,11
10,zaff3,./stimuli/exp1/hs2.png,50354,approach,1714,1,11,12
11,nonzaff4,./stimuli/exp1/ss1.png,53429,avoid,2438.0000000000073,0,12,12
12,zaff1,./stimuli/exp1/hh1.png,57280,approach,1271,1,12,13
13,zaff3,./stimuli/exp1/hs4.png,59895,approach,5121.999999999993,1,13,14
14,zaff2,./stimuli/exp1/sh2.png,66320.00000000001,approach,3730.9999999999854,1,14,15
15,zaff1,./stimuli/exp1/hh3.png,71496,approach,1163,1,15,16
16,nonzaff4,./stimuli/exp1/ss3.png,73714,avoid,3578,0,16,16

# EXPERIMENT 2 RANKING
rank,itemId,text
1,item-3,在目标正体验一种强烈情绪（如热恋）时，瞬间将其完全清除，使其内心归于绝对的平静。
2,item-5,在一个完全中性、无任何刺激的情境下，让目标体验到一种强烈的、无缘由的复杂情绪（如乡愁）。
3,item-6,让目标针对同一件事，在同一瞬间体验到两种同样强烈或都较弱的同效价维度情绪（例如，对毕业既感到悲伤又感到愤怒）
4,item-2,在一个强烈的情境下，将个体应有的情绪转为相近而不同的其他情绪，例如由惊恐转为厌恶
5,item-7,在1小时内定格对象的情绪，无论之后情境怎么变，对象的情绪都不会变
6,item-9,强行将目标一种正在体验的情绪转入潜意识，使其意识层面感觉不到，但情绪本身仍对行为产生潜在影响。
7,item-10,让目标的情绪产生的时间间断性延后，比如原本考试满分立刻感到狂喜，现在得知此消息后十分钟后才狂喜（情境完全一致）
8,item-1,让目标情绪产生的速度变慢，比如原本考试满分立刻感到狂喜，现在得知此消息后在十分钟内慢慢由微弱的开心到大笑再到狂喜（情境完全一样）
9,item-4,将目标已有的某种情绪，在性质不变的情况下，等比例增强其强度（例如，将微小的烦躁增强为愤怒）。
10,item-8,在目标现有情绪的基调上，增添一抹细微的“色彩”（例如，在“开心”的情绪上，增添一丝“得意”的感觉）。

# EVENT LOG
event,timestamp,page,details
599,796,91506
599,796,91517
599,796,91528
599,796,91538
599,796,91549
599,796,91560
599,796,91571
599,796,91582.00000000001
599,796,91593
599,796,91604
599,796,91615
599,796,91626
599,796,91637
599,796,91648
599,796,91658
599,796,91669
599,796,91680
599,796,91691
599,796,91701.00000000001
599,796,91712
599,796,91723
599,796,91734.00000000001
599,796,91745
599,796,91756
599,796,91767
599,796,91778
599,796,91789
599,796,91800
599,796,91810
599,796,91821
599,796,91832.00000000001
599,796,91843
599,796,91853.00000000001
599,796,91864
599,796,91875
599,796,91886
599,796,91897
599,796,91908
599,796,91918
599,796,91930
599,796,91941
599,796,91952
599,796,91963.00000000001
599,796,91974
599,796,91985
599,796,91995
599,796,92007
599,796,92018
599,796,92029
599,796,92040
599,796,92051
599,796,92062
599,796,92072
599,796,92082.00000000001
599,796,92093
599,796,92104
599,796,92115
599,796,92126
599,796,92137
599,796,92148
599,796,92158
599,796,92169
599,796,92180
599,796,92191
599,796,92202
599,796,92212
599,796,92223
599,796,92235
599,796,92246
599,796,92257
599,796,92268
599,796,92279
599,796,92290
599,796,92301
599,796,92312
599,796,92323.00000000001
599,796,92334
599,796,92345
599,796,92356.00000000001
599,796,92367
599,796,92378
599,796,92389
599,796,92400
599,796,92410
599,796,92421
599,796,92432
599,796,92443
599,796,92454.00000000001
599,796,92465
599,796,92476
599,796,92487.00000000001
599,796,92498
599,796,92509
599,796,92520
599,796,92531
599,796,92542
599,796,92553
599,796,92564
599,796,92575
599,796,92586
599,796,92597.00000000001
599,796,92608
599,796,92620
599,796,92631
599,796,92642
599,796,92652
599,796,92663
599,796,92674
599,796,92685
599,796,92696
599,796,92707.00000000001
599,796,92718
599,796,92729
599,796,92740
599,796,92751
599,796,92761
599,796,92772
599,796,92783
599,796,92793
599,796,92805
599,796,92816
599,796,92827
599,796,92838.00000000001
599,796,92849
599,796,92860
599,796,92871
599,796,92882
599,796,92893
599,796,92904
599,796,92915
599,796,92926
599,796,92937
599,796,92948.00000000001
599,796,92959
599,796,92970
599,796,92981.00000000001
599,796,92992
599,796,93003
599,796,93014
599,796,93025
599,796,93036
599,796,93047
599,796,93058
599,796,93068
599,796,93079.00000000001
599,796,93089
599,796,93100.00000000001
599,796,93111
599,796,93122
599,796,93134
599,796,93145
599,796,93156
599,796,93167
599,796,93177
599,796,93187
599,796,93198.00000000001
599,796,93209
599,796,93220
599,796,93231.00000000001
599,796,93242
599,796,93253
599,796,93264
599,796,93275
599,796,93285
599,796,93296
599,796,93307
599,796,93318
599,796,93329.00000000001
599,796,93340
599,796,93351
599,796,93362.00000000001
599,796,93373
599,796,93384
599,796,93395
599,796,93406
599,796,93416
599,796,93427
599,796,93438
599,796,93448.00000000001
599,796,93459
599,796,93470
599,796,93481.00000000001
599,796,93492
599,796,93503
599,796,93514
599,796,93525
599,796,93535
599,796,93546
599,796,93557
599,796,93568
599,796,93578
599,796,93589
599,796,93600.00000000001
599,796,93611
599,796,93622
599,796,93633
599,796,93645
599,796,93656
599,796,93667
599,796,93678
599,796,93689
599,796,93700
599,796,93711
599,796,93721
599,796,93732
599,796,93743
599,796,93754
599,796,93765
599,796,93775
599,796,93786
599,796,93797
599,796,93808
599,796,93819
599,796,93829.00000000001
599,796,93839
599,796,93850.00000000001
599,796,93861
599,796,93872
599,796,93883
599,796,93894
599,796,93905
599,796,93916
599,796,93927
599,796,93938
599,796,93949
599,796,93960.00000000001
599,796,93971
599,796,93982
599,796,93993
599,796,94004
599,796,94014
599,796,94025
599,796,94036
599,796,94047
599,796,94058
599,796,94070.00000000001
599,796,94081
599,796,94092
599,796,94103.00000000001
599,796,94114
599,796,94125
599,796,94135
599,796,94146
599,796,94157
599,796,94168
599,796,94179
599,796,94190
599,796,94201.00000000001
599,796,94212
599,796,94223
599,796,94234.00000000001
599,796,94245
599,796,94256
599,796,94266
599,796,94277
599,796,94288
599,796,94299
599,796,94310
599,796,94321
599,796,94332.00000000001
599,796,94343
599,796,94354
599,796,94364
599,796,94375
599,796,94386
599,796,94397
599,796,94408
599,796,94418
599,796,94429
599,796,94439
599,796,94450
599,796,94461
599,796,94472.00000000001
599,796,94483
599,796,94493
599,796,94505
599,796,94516
599,796,94527
599,796,94538
599,796,94549
599,796,94560
599,796,94571
599,796,94581
599,796,94592
599,796,94603.00000000001
599,796,94614
599,796,94625
599,796,94636
599,796,94647
599,796,94658
599,796,94668
599,796,94680
599,796,94690
599,796,94701.00000000001
599,796,94711
599,796,94722.00000000001
599,796,94733
599,796,94744
599,796,94756
599,796,94767
599,796,94778
599,796,94788
599,796,94799
599,796,94810
599,796,94821
599,796,94831
599,796,94842
599,796,94853.00000000001
599,796,94864
599,796,94875
599,796,94885
599,796,94896
599,796,94906
599,796,94917
599,796,94929
599,796,94939
599,796,94950
599,796,94961
599,796,94972.00000000001
599,796,94983
599,796,94994
599,796,95005
599,796,95016
599,796,95027
599,796,95038
599,796,95049
599,796,95059
599,796,95069
599,796,95080
599,796,95091.00000000001
599,796,95102
599,796,95113
599,796,95125
599,796,95136
599,796,95147
599,796,95158
599,796,95168
599,796,95179
599,796,95190
599,796,95201.00000000001
599,796,95212
599,796,95223
599,796,95234.00000000001
599,796,95245
599,796,95256
599,796,95267
599,796,95277
599,796,95288
599,796,95299
599,796,95310
599,796,95321
599,796,95332.00000000001
599,796,95343
599,796,95354
599,796,95365
599,796,95376
599,796,95387
599,796,95398
599,796,95408
599,796,95418
599,796,95429
599,796,95440
599,796,95452
599,796,95463.00000000001
599,796,95473
599,796,95484.00000000001
599,796,95495
599,796,95506
599,796,95517
599,796,95528
599,796,95539
599,796,95549
599,796,95560
599,796,95571
599,796,95582.00000000001
599,796,95593
599,796,95604
599,796,95614
599,796,95625
599,796,95636
599,796,95647
599,796,95659
599,796,95670
599,796,95681
599,796,95692
599,796,95703
599,796,95713.00000000001
599,796,95724
599,796,95735
599,796,95746
599,796,95757
599,796,95768
599,796,95779
599,796,95789
599,796,95800
599,796,95811
599,796,95822
599,796,95833
599,796,95845
599,796,95856.00000000001
599,796,95867
599,796,95878
599,796,95888
599,796,95899
599,796,95910
599,796,95921
599,796,95932
599,796,95943
599,796,95954.00000000001
599,796,95966.00000000001
599,796,95977
599,796,95988
599,796,95998
599,796,96009
599,796,96020
599,796,96031
599,796,96042
599,796,96053
599,796,96064
599,796,96075
599,796,96086
599,796,96097.00000000001
599,796,96108
599,796,96119
599,796,96130
599,796,96141
599,796,96152
599,796,96163
599,796,96174
599,796,96185
599,796,96196
599,796,96206
599,796,96216.00000000001
599,796,96226
599,796,96238
599,796,96248
599,796,96258
599,796,96269
599,796,96280
599,796,96291
599,796,96302
599,796,96313
599,796,96324
599,796,96335.00000000001
599,796,96346
599,796,96356.00000000001
599,796,96367
599,796,96378
599,796,96389
599,796,96400
599,796,96411
599,796,96422
599,796,96433
599,796,96444
599,796,96455
599,796,96466.00000000001
599,796,96477
599,796,96488
599,796,96499
599,796,96510
599,796,96521
599,796,96531
599,796,96542
599,796,96553
599,796,96564
599,796,96575
599,796,96586
599,796,96597.00000000001
599,796,96608
599,796,96619
599,796,96630
599,796,96641
599,796,96651
599,796,96662
599,796,96673
599,796,96684
599,796,96695.00000000001
599,796,96706
599,796,96717
599,796,96728.00000000001
599,796,96739
599,796,96750
599,796,96760
599,796,96771
599,796,96782
599,796,96793
599,796,96804
599,796,96814
599,796,96825
599,796,96835.00000000001
599,796,96846
599,796,96857
599,796,96867
599,796,96878
599,796,96889
599,796,96900
599,796,96911
599,796,96922
599,796,96933
599,796,96945.00000000001
599,796,96955
599,796,96966.00000000001
599,796,96977
599,796,96987.00000000001
599,796,96998
599,796,97009
599,796,97020
599,796,97031
599,796,97042
599,796,97052
599,796,97063
599,796,97074
599,796,97085.00000000001
599,796,97096
599,796,97107
599,796,97118
599,796,97129
599,796,97140
599,796,97151
599,796,97162
599,796,97173
599,796,97184
599,796,97195.00000000001
599,796,97206
599,796,97217
599,796,97228.00000000001
599,796,97238
599,796,97249
599,796,97260
599,796,97270
599,796,97281
599,796,97292
599,796,97303
599,796,97314
599,796,97325
599,796,97336
599,796,97347.00000000001
599,796,97358
599,796,97369
599,796,97380
599,796,97391
599,796,97402
599,796,97414
599,796,97425
599,796,97436
599,796,97447
599,796,97457.00000000001
599,796,97468
599,796,97479
599,796,97490.00000000001
599,796,97501
599,796,97511
599,796,97522
599,796,97532
599,796,97543
599,796,97554
599,796,97565
599,796,97576.00000000001
599,796,97587
599,796,97598
599,796,97609.00000000001
599,796,97620
599,796,97631
599,796,97641
599,796,97652
599,796,97663
599,796,97674
599,796,97685
599,796,97695.00000000001
599,796,97706
599,796,97717
599,796,97727
599,796,97738
599,796,97749
599,796,97760
599,796,97771
599,796,97782
599,796,97793
599,796,97804
599,796,97815
599,796,97826.00000000001
599,796,97837
599,796,97848
599,796,97858
599,796,97868
599,796,97879
599,796,97890
599,796,97901
599,796,97912
599,796,97923
599,796,97934
599,796,97945.00000000001
599,796,97956
599,796,97966.00000000001
599,796,97977
599,796,97988
599,796,97999
599,796,98010
599,796,98021
599,796,98031
599,796,98042
599,796,98053
599,796,98064
599,796,98075
599,796,98086
599,796,98097.00000000001
599,796,98108
599,796,98119
599,796,98130
599,796,98141
599,796,98152
599,796,98163
599,796,98173
599,796,98184
599,796,98194
599,796,98205
599,796,98216.00000000001
599,796,98227
599,796,98237.00000000001
599,796,98248
599,796,98259
599,796,98270
599,796,98281
599,796,98292
599,796,98303
599,796,98314
599,796,98325
599,796,98335.00000000001
599,796,98346
599,796,98357
599,796,98368
599,796,98379
599,796,98390
599,796,98400
599,796,98411
599,796,98422
599,796,98433
599,796,98444
599,796,98456
599,796,98467
599,796,98477
599,796,98488
599,796,98499
599,796,98510
599,796,98521
599,796,98531
599,796,98542
599,796,98553
599,796,98564
599,796,98575
599,796,98586
599,796,98597.00000000001
599,796,98608
599,796,98619
599,796,98630
599,796,98641
599,796,98652
599,796,98663
599,796,98674
599,796,98685
599,796,98696
599,796,98706
599,796,98717
599,796,98728.00000000001
599,796,98738
599,796,98749
599,796,98760
599,796,98771
599,796,98782
599,796,98793
599,796,98804
599,796,98815
599,796,98827
599,796,98838.00000000001
599,796,98848
599,796,98859.00000000001
599,796,98870
599,796,98881
599,796,98891
599,796,98902
599,796,98912
599,796,98923
599,796,98934
599,796,98945.00000000001
599,796,98955
599,796,98966.00000000001
599,796,98977
599,796,98988
599,796,98999
599,796,99009
599,796,99020
599,796,99031
599,796,99042
599,796,99053
599,796,99064
599,796,99075
599,796,99086
599,796,99097.00000000001
599,796,99108
599,796,99119
599,796,99129
599,796,99140
599,796,99151
599,796,99162
599,796,99173
599,796,99183
599,796,99193
599,796,99205
599,796,99216.00000000001
599,796,99227
599,796,99238
599,796,99249
599,796,99260
599,796,99271
599,796,99281
599,796,99292
599,796,99303
599,796,99314
599,796,99325
599,796,99336
599,796,99347.00000000001
599,796,99358
599,796,99369
599,796,99380
599,796,99391
599,796,99402
599,796,99413
599,796,99424
599,796,99435
599,796,99446
599,796,99457.00000000001
599,796,99468
599,796,99479
599,796,99490.00000000001
599,796,99501
599,796,99512
599,796,99523
599,796,99534
599,796,99545
599,796,99556
599,796,99567
599,796,99578
599,796,99589
599,796,99600.00000000001
599,796,99610
599,796,99621
599,796,99632
599,796,99643
599,796,99654
599,796,99665
599,796,99676
599,796,99687
599,796,99698.00000000001
599,796,99708
599,796,99718
599,796,99729
599,796,99740.00000000001
599,796,99751
599,796,99761
599,796,99772
599,796,99782
599,796,99793
599,796,99804
599,796,99814
599,796,99825
599,796,99836
599,796,99847.00000000001
599,796,99859.00000000001
599,796,99870
599,796,99881
599,796,99892
599,796,99903
599,796,99914
599,796,99925
599,796,99935
599,796,99945.00000000001
599,796,99956
599,796,99967
599,796,99977
599,796,99988
599,796,100000
599,796,100010
599,796,100021
599,796,100032
599,796,100043
599,796,100054
599,796,100066
599,796,100077
599,796,100088.00000000001
599,796,100099
599,796,100110
599,796,100121
599,796,100131
599,796,100142
599,796,100153
599,796,100164
599,796,100175
599,796,100186
599,796,100197
599,796,100208
599,796,100218
599,796,100229
599,796,100240.00000000001
599,796,100252
599,796,100263
599,796,100274
599,796,100284
599,796,100295
599,796,100306
599,796,100317
599,796,100327
599,796,100339
599,796,100350.00000000001
599,796,100360
599,796,100370
599,796,100381
599,796,100392
599,796,100403
599,796,100414
599,796,100425
599,796,100436
599,796,100447
599,796,100458
599,796,100470
599,796,100481.00000000001
599,796,100492
599,796,100502
599,796,100513
599,796,100524
599,796,100534
599,796,100545
599,796,100556
599,796,100567
599,796,100578
599,796,100589
599,796,100600.00000000001
599,796,100611
599,796,100621
599,796,100631
599,796,100642
599,796,100653
599,796,100664
599,796,100674
599,796,100685
599,796,100696
599,796,100707.00000000001
599,796,100718
599,796,100729
599,796,100739
599,796,100750
599,796,100760
599,796,100771
599,796,100781
599,796,100792
599,796,100803
599,796,100814
599,796,100825
599,796,100835.00000000001
599,796,100846
599,796,100857
599,796,100868
599,796,100879
599,796,100890
599,796,100901
599,796,100912
599,796,100923
599,796,100934
599,796,100945.00000000001
599,796,100956
599,796,100967
599,796,100978.00000000001
599,796,100989
599,796,101000
599,796,101010
599,796,101021
599,796,101032
599,796,101043
599,796,101054
599,796,101065
599,796,101076.00000000001
599,796,101087
599,796,101098
599,796,101109.00000000001
599,796,101120
599,796,101131
599,796,101142
599,796,101153
599,796,101164
599,796,101175
599,796,101185
599,796,101196
599,796,101207.00000000001
599,796,101218
599,796,101229
599,796,101239
599,796,101250
599,796,101261
599,796,101272
599,796,101283
599,796,101293
599,796,101304
599,796,101314
599,796,101325
599,796,101336
599,796,101347.00000000001
599,796,101358
599,796,101368.00000000001
599,796,101379
599,796,101390
599,796,101401
599,796,101412
599,796,101423
599,796,101434
599,796,101445.00000000001
599,796,101456
599,796,101467
599,796,101478.00000000001
599,796,101489
599,796,101500
599,796,101510
599,796,101521
599,796,101532
599,796,101543
599,796,101554
599,796,101565
599,796,101576.00000000001
599,796,101587
599,796,101598
599,796,101609.00000000001
599,796,101619
599,796,101630
599,796,101641
599,796,101652
599,796,101663
599,796,101674
599,796,101685
599,796,101696
599,796,101706
599,796,101717
599,796,101728.00000000001
599,796,101739
599,796,101750
599,796,101761
599,796,101772
599,796,101783
599,796,101794
599,796,101805
599,796,101816
599,796,101827
599,796,101838.00000000001
599,796,101849
599,796,101860
599,796,101871
599,796,101881
599,796,101892
599,796,101903
599,796,101914
599,796,101925
599,796,101935
599,796,101946
599,796,101957.00000000001
599,796,101968
599,796,101979
599,796,101990.00000000001
599,796,102001
599,796,102012
599,796,102023
599,796,102034
599,796,102045
599,796,102056
599,796,102066
599,796,102077
599,796,102088.00000000001
599,796,102099
599,796,102110
599,796,102121
599,796,102132
599,796,102143
599,796,102154
599,796,102164
599,796,102175
599,796,102186
599,796,102197
599,796,102208
599,796,102220
599,796,102231.00000000001
599,796,102241
599,796,102252
599,796,102263
599,796,102274
599,796,102285
599,796,102296
599,796,102306
599,796,102317
599,796,102328
599,796,102339
599,796,102350.00000000001
599,796,102361
599,796,102372
599,796,102382
599,796,102393
599,796,102404
599,796,102414
599,796,102425
599,796,102436
599,796,102447
599,796,102459
599,796,102470
599,796,102481.00000000001
599,796,102492
599,796,102502
599,796,102513
599,796,102524
599,796,102535
599,796,102546
599,796,102557
599,796,102568
599,796,102579.00000000001
599,796,102590
599,796,102601
599,796,102612.00000000001
599,796,102623
599,796,102634
599,796,102644
599,796,102655
599,796,102666
599,796,102677
599,796,102687
599,796,102698.00000000001
599,796,102709
599,796,102720
599,796,102731.00000000001
599,796,102742
599,796,102753
599,796,102764
599,796,102774
599,796,102785
599,796,102796
599,796,102807
599,796,102818
599,796,102829.00000000001
599,796,102839
599,796,102850.00000000001
599,796,102861
599,796,102872
599,796,102883
599,796,102894
599,796,102905
599,796,102916
599,796,102926
599,796,102937
599,796,102948.00000000001
599,796,102959
599,796,102970
599,796,102981.00000000001
599,796,102991
599,796,103002
599,796,103013
599,796,103024
599,796,103035
599,796,103046
599,796,103057
599,796,103069
599,796,103080
599,796,103090
599,796,103101
599,796,103112.00000000001
599,796,103123
599,796,103134
599,796,103145
599,796,103155
599,796,103166
599,796,103177
599,796,103188
599,796,103199
599,796,103210.00000000001
599,796,103221
599,796,103232
599,796,103243.00000000001
599,796,103254
599,796,103264
599,796,103275
599,796,103286
599,796,103297
599,796,103308
599,796,103318
599,796,103329.00000000001
599,796,103339
599,796,103350.00000000001
599,796,103361
599,796,103372
599,796,103383
599,796,103393
599,796,103404
599,796,103416
599,796,103427
599,796,103438
599,796,103449
599,796,103460.00000000001
599,796,103470
599,796,103481.00000000001
599,796,103492
599,796,103503
599,796,103514
599,796,103525
599,796,103535
599,796,103546
599,796,103557
599,796,103568
599,796,103579.00000000001
599,796,103590
599,796,103601
599,796,103612.00000000001
599,796,103623
599,796,103634
599,796,103645
599,796,103656
599,796,103667
599,796,103678
599,796,103689
599,796,103700
599,796,103710.00000000001
599,796,103721
599,796,103732
599,796,103743.00000000001
599,796,103754
599,796,103765
599,796,103776
599,796,103786
599,796,103797
599,796,103808
599,796,103819
599,796,103830
599,796,103841.00000000001
599,796,103852
599,796,103863
599,796,103873
599,796,103884
599,796,103895
599,796,103906
599,796,103917
599,796,103928
599,796,103939
599,796,103950
599,796,103961
599,796,103972.00000000001
599,796,103982
599,796,103993.00000000001
599,796,104004
599,796,104015
599,796,104026
599,796,104037
599,796,104048
599,796,104059
599,796,104070.00000000001
599,796,104081
599,796,104092
599,796,104103.00000000001
599,796,104114
599,796,104125
599,796,104136
599,796,104147
599,796,104158
599,796,104168
599,796,104180
599,796,104190
599,796,104201.00000000001
599,796,104212
599,796,104223
599,796,104234.00000000001
599,796,104244
599,796,104255
599,796,104267
599,796,104277
599,796,104287
599,796,104298
599,796,104309
599,796,104320.00000000001
599,796,104331
599,796,104341.00000000001
599,796,104352
599,796,104363
599,796,104373
599,796,104384
599,796,104395
599,796,104406
599,796,104417
599,796,104428
599,796,104439
599,796,104450
599,796,104461
599,796,104472.00000000001
599,796,104482
599,796,104493.00000000001
599,796,104504
599,796,104515
599,796,104526
599,796,104537
599,796,104548
599,796,104558
599,796,104569
599,796,104580
599,796,104591.00000000001
599,796,104602
599,796,104613
599,796,104624
599,796,104635
599,796,104646
599,796,104656
599,796,104667
599,796,104678
599,796,104689
599,796,104700
599,796,104711
599,796,104722.00000000001
599,796,104733
599,796,104744
599,796,104755
599,796,104766
599,796,104777
599,796,104788
599,796,104799
599,796,104810
599,796,104821
599,796,104832.00000000001
599,796,104843
599,796,104853.00000000001
599,796,104864
599,796,104875
599,796,104885
599,796,104896
599,796,104908
599,796,104918
599,796,104930
599,796,104941
599,796,104952
599,796,104963.00000000001
599,796,104974
599,796,104985
599,796,104996
599,796,105006
599,796,105017
599,796,105028
599,796,105039
599,796,105050
599,796,105060
599,796,105071
599,796,105082.00000000001
599,796,105093
599,796,105104
599,796,105115.00000000001
599,796,105126
599,796,105137
599,796,105148
599,796,105159
599,796,105169
599,796,105181
599,796,105192
599,796,105202
599,796,105213.00000000001
599,796,105224
599,796,105235
599,796,105246
599,796,105257
599,796,105268
599,796,105278
599,796,105289
599,796,105300
599,796,105311
599,796,105322
599,796,105333
599,796,105343
599,796,105354
599,796,105364
599,796,105375
599,796,105386
599,796,105397
599,796,105408
599,796,105419
599,796,105429
599,796,105440
599,796,105451.00000000001
599,796,105462
599,796,105473
599,796,105483
599,796,105494
599,796,105505
599,796,105516
599,796,105527
599,796,105538
599,796,105549
599,796,105560
599,796,105571
599,796,105582.00000000001
599,796,105593
599,796,105604
599,796,105614
599,796,105625
599,796,105636
599,796,105647
599,796,105658
599,796,105669
599,796,105680
599,796,105692
599,796,105703
599,796,105714
599,796,105725.00000000001
599,796,105736
599,796,105747
599,796,105757
599,796,105768
599,796,105779
599,796,105790
599,796,105801
599,796,105812
599,796,105823.00000000001
599,796,105833
599,796,105843
599,796,105854
599,796,105865.00000000001
599,796,105877
599,796,105887
599,796,105898
599,796,105909
599,796,105920
599,796,105931
599,796,105942
599,796,105952
599,796,105963.00000000001
599,796,105975.00000000001
599,796,105985
599,796,105996
599,796,106007
599,796,106018
599,796,106029
599,796,106039
599,796,106050
599,796,106061
599,796,106072
599,796,106083
599,796,106093
599,796,106104
599,796,106116
599,796,106127
599,796,106138
599,796,106149
599,796,106160
599,796,106171
599,796,106181
599,796,106191
599,796,106202
599,796,106213.00000000001
599,796,106224
599,796,106235
599,796,106245
599,796,106256
599,796,106267
599,796,106278
599,796,106289
599,796,106299
599,796,106310
599,796,106321
599,796,106332.00000000001
599,796,106343
599,796,106354
599,796,106365.00000000001
599,796,106376
599,796,106387
599,796,106398
599,796,106408
599,796,106419
599,796,106430
599,796,106441
599,796,106452
599,796,106462
599,796,106473
599,796,106484.00000000001
599,796,106495
599,796,106505
599,796,106516
599,796,106527
599,796,106538
599,796,106549
599,796,106560
599,796,106571
599,796,106581
599,796,106593
599,796,106604
599,796,106614
599,796,106625
599,796,106635
599,796,106645
599,796,106656
599,796,106667
599,796,106677
599,796,106688
599,796,106699
599,796,106710.00000000001
599,796,106721
599,796,106732
599,796,106743.00000000001
599,796,106754
599,796,106764
599,796,106775
599,796,106786
599,796,106797
599,796,106808
599,796,106820.00000000001
599,796,106831
599,796,106842
599,796,106852
599,796,106863
599,796,106874
599,796,106885
599,796,106896
599,796,106907
599,796,106918
599,796,106929
599,796,106939
599,796,106950
599,796,106961
599,796,106972.00000000001
599,796,106983
599,796,106994
599,796,107004
599,796,107014
599,796,107025
599,796,107036
599,796,107047
599,796,107058
599,796,107070.00000000001
599,796,107081
599,796,107092
599,796,107103.00000000001
599,796,107114
599,796,107125
599,796,107136
599,796,107147
599,796,107158
599,796,107169
599,796,107179
599,796,107190
599,796,107201.00000000001
599,796,107212
599,796,107223
599,796,107233
599,796,107244
599,796,107255
599,796,107266
599,796,107277
599,796,107288
599,796,107299
599,796,107309
599,796,107320.00000000001
599,796,107331
599,796,107342
599,796,107353.00000000001
599,796,107364
599,796,107375
599,796,107386
599,796,107397
599,796,107408
599,796,107418
599,796,107429
599,796,107439
599,796,107450
599,796,107461
599,796,107472.00000000001
599,796,107483
599,796,107494
599,796,107505
599,796,107515
599,796,107526
599,796,107537
599,796,107548
599,796,107559
599,796,107570.00000000001
599,796,107580
599,796,107591.00000000001
599,796,107602
599,796,107613
599,796,107624
599,796,107635
599,796,107646
599,796,107656
599,796,107667
599,796,107678
599,796,107688
599,796,107699
599,796,107710.00000000001
599,796,107721
599,796,107732
599,796,107743.00000000001
599,796,107754
599,796,107764
599,796,107775
599,796,107786
599,796,107797
599,796,107808
599,796,107819
599,796,107830
599,796,107841.00000000001
599,796,107852
599,796,107863
599,796,107874
599,796,107884
599,796,107895
599,796,107906
599,796,107917
599,796,107927
599,796,107938
599,796,107949
599,796,107961
599,796,107972.00000000001
599,796,107982
599,796,107993.00000000001
599,796,108004
599,796,108014
599,796,108025
599,796,108035
599,796,108046
599,796,108057
599,796,108068
599,796,108079.00000000001
599,796,108090
599,796,108101
599,796,108112.00000000001
599,796,108123
599,796,108134
599,796,108145
599,796,108155
599,796,108166
599,796,108177
599,796,108188
599,796,108199
599,796,108210.00000000001
599,796,108221
599,796,108232
599,796,108243.00000000001
599,796,108254
599,796,108264
599,796,108275
599,796,108285
599,796,108296
599,796,108307
599,796,108317
599,796,108328
599,796,108339
599,796,108350.00000000001
599,796,108361
599,796,108372
599,796,108383
599,796,108393
599,796,108404
599,796,108415
599,796,108426
599,796,108437
599,796,108448.00000000001
599,796,108459
599,796,108470
599,796,108481.00000000001
599,796,108491
599,796,108502
599,796,108513
599,796,108524
599,796,108535
599,796,108547
599,796,108558
599,796,108569
599,796,108580
599,796,108590
599,796,108601
599,796,108612.00000000001
599,796,108623
599,796,108634
599,796,108645
599,796,108655
599,796,108666
599,796,108677
599,796,108688
599,796,108699
599,796,108710.00000000001
599,796,108720
599,796,108731.00000000001
599,796,108742
599,796,108752
599,796,108763
599,796,108774
599,796,108785
599,796,108796
599,796,108807
599,796,108818
599,796,108829.00000000001
599,796,108840
599,796,108851
599,796,108862.00000000001
599,796,108873
599,796,108883
599,796,108895
599,796,108905
599,796,108916
599,796,108927
599,796,108938
599,796,108949
599,796,108960.00000000001
599,796,108971
599,796,108982
599,796,108993.00000000001
599,796,109004
599,796,109015
599,796,109026
599,796,109037
599,796,109048
599,796,109059
599,796,109070.00000000001
599,796,109081
599,796,109092
599,796,109102
599,796,109113
599,796,109124
599,796,109135
599,796,109146
599,796,109157
599,796,109168
599,796,109179
599,796,109190
599,796,109201.00000000001
599,796,109212
599,796,109223
599,796,109234.00000000001
599,796,109244
599,796,109255
599,796,109266
599,796,109277
599,796,109288
599,796,109299
599,796,109310
599,796,109322
599,796,109333
599,796,109344.00000000001
599,796,109355
599,796,109365.00000000001
599,796,109376
599,796,109387
599,796,109398
599,796,109409
599,796,109420
